SL NO,Plot No,MF,Name,FF,Name,Remarks,,Border rows flowered : 7/17  and 7/19,,
152,1152,22-Jul,c,25-Jul,c,,,,,
153,1153,17-Aug,w,19-Aug,c,,,,,
154,1154,3-Aug,c,6-Aug,c,,,,,
155,1155,22-Jul,c,27-Jul,c,,,,,
156,1156,22-Jul,c,27-Jul,c,,,,,
157,1157,5-Aug,c,9-Aug,w,,,,,
158,1158,23-Jul,c,27-Jul,c,,,,,
159,1159,28-Jul,c,3-Aug,c,,,,,
160,1160,23-Aug,c,7-Sep,c,,,,,
161,1161,29-Jul,c,1-Aug,c,,,,,
162,1162,31-Jul,c,9-Aug,c,,,,,
163,1163,30-Jul,c,5-Aug,c,,,,,
164,1164,22-Jul,c,26-Jul,c,Seggrigation in tassel color(2types),,,,
165,1165,23-Jul,c,20-Jul,c,,,,,
166,1166,1-Sep,c,12-Aug,w,,,,,
167,1167,9-Aug,c,12-Aug,w,,,,,
168,1168,27-Jul,c,5-Aug,c,,,,,
169,1169,7-Aug,c,19-Aug,w,,,,,
170,1170,14-Jul,c,16-Jul,c,,,,,
171,1171,18-Jul,c,20-Jul,c,,,,,
172,1172,27-Jul,c,28-Jul,c,,,,,
173,1173,28-Jul,c,5-Aug,c,,,,,
174,1174,13-Aug,w,22-Aug,w,,,,,
175,1175,2-Aug,c,15-Aug,c,,,,,
176,1176,12-Aug,w,22-Aug,w, tassels are purple in color,,,,
177,1177,20-Aug,c,23-Aug,c,,,,,
178,1178,6-Aug,c,9-Aug,c,,,,,
179,1179,23-Jul,c,27-Jul,c,,,,,
180,1180,20-Aug,c,NA,c,,,,,
181,1181,28-Jul,c,6-Aug,c,,,,,
182,1182,20-Aug,c,5-Sep,c,,,,,
183,1183,23-Aug,w,30-Aug,,tassels emrged and drying due to high temp,,,,
184,1184,9-Aug,c,13-Aug,w,,,,,
185,1185,4-Aug,c,9-Aug,c,,,,,
186,1186,30-Jul,c,2-Aug,c,,,,,
187,1187,24-Aug,c,5-Sep,c,,,,,
188,1188,23-Aug,c,na,c,,,,,
189,1189,28-Jul,c,1-Aug,c,Tassels are dried(Burnt) due to high temp,,,,
190,1190,9-Aug,c,19-Aug,c,,,,,
191,1191,22-Jul,c,26-Jul,c,,,,,
