Field ,Plot #,Row,Range,Ear Height 1,Flaf Leaf 1,Total Height1,Bottom internode1 ,Upper internode1,Ear Height2 ,Flaf Leaf2 ,Total Height2,Bottom internode2 ,Upper internode2,Person 
HYB-Hips ,4103,4,6,4.1,8.3,9.9,21.94,3,3.6,6.7,9.5,24.99,6,LL/KL
HYB-Hips ,4104,5,6,3.2,7.6,9.5,21,3,3.1,7.6,9.7,26.48,6,LL/KL
HYB-Hips ,4105,6,6,3.5,7.7,9.5,19.09,3,3,7.4,9.4,19.9,7,LL/KL
HYB-Hips ,4106,7,6,3,6.5,8.1,17.14,3,3.8,6.5,7.8,17.83,6,LL/KL
HYB-Hips ,4107,8,6,4,8.1,9.8,18.9,3,3.7,8,9.8,21.19,6,LL/KL
HYB-Hips ,4108,9,6,4,8.6,10.6,19.81,3,3.8,7.4,8.9,15.96,4,LL/KL
HYB-Hips ,4109,10,6,4.8,8.5,10.1,22.25,4,4,8,10,24.17,5,LL/KL
HYB-Hips ,4110,11,6,2.6,6.5,8.9,26.21,3,3.7,7.4,9,19.76,6,LL/KL
HYB-Hips ,4111,12,6,3.5,7.5,9.1,33.19,4,4.7,7.8,9.3,20.66,6,LL/KL
HYB-Hips ,4112,13,6,3.6,7.4,8.8,13.58,2,2.8,6.7,8.3,22.99,6,LL/KL
HYB-Hips ,4113,14,6,4.9,9.1,10.3,27.24,4,4.8,8.5,10.2,27.71,7,LL/KL
HYB-Hips ,4114,15,6,4.1,8,9.8,25.1,4,4.4,7.9,9..5,24.93,6,LL/KL
HYB-Hips ,4115,16,6,3.2,6.3,7.9,18.71,3,3.5,6.3,7.6,22.07,5,LL/KL
HYB-Hips ,4116,17,6,2.9,6.1,8.4,20.67,3,3,7.1,8.8,23.4,4,LL/KL
HYB-Hips ,4117,18,6,3.1,7.1,8.5,19.94,3,3,7.4,8.8,19.6,5,LL/KL
HYB-Hips ,4118,19,6,3.1,7.4,8.8,18.49,3,3,7.2,8.6,18.23,5,LL/KL
