Sample ID,Date,Time,,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4037Row13$Range3$@PHB47 x LH185,12/12/2023,4:32 PM,,6.45,10.85,3.39,1.41,0.99,65.48
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4037Row13$Range3$@PHB47 x LH185,12/12/2023,4:32 PM,,6.65,10.52,3.41,1.36,0.92,65.18
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5198Row24$Range20$@LH195 x PHZ51,12/12/2023,4:33 PM,,6.52,9.26,3.65,0.58,1.03,66.65
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5198Row24$Range20$@LH195 x PHZ51,12/12/2023,4:33 PM,,6.45,9.64,4.17,0.47,1.07,65.45
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5198Row24$Range20$@LH195 x PHZ51,12/12/2023,4:34 PM,,6.47,9.27,4.01,0.45,1.05,65.9
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6224Row25$Range32$@LH82 x PHJ89,12/12/2023,4:35 PM,,6.04,9.94,3.55,0.82,1.2,63.67
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6224Row25$Range32$@LH82 x PHJ89,12/12/2023,4:35 PM,,5.89,9.76,4.27,0.54,1.21,63.62
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6224Row25$Range32$@LH82 x PHJ89,12/12/2023,4:36 PM,,5.89,10.27,4.11,0.69,1.2,63.27
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6073Row24$Range26$@PHK56 x LH185,12/12/2023,4:37 PM,,5.96,10,3.54,1.73,1.08,62.15
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6073Row24$Range26$@PHK56 x LH185,12/12/2023,4:37 PM,,5.72,10.3,3.5,2.03,1.16,64.47
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6073Row24$Range26$@PHK56 x LH185,12/12/2023,4:37 PM,,6.03,9.85,3.51,1.88,1.18,65.82
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5073Row24$Range15$@Pioneer P0589 AMXT,12/12/2023,4:38 PM,,5.99,9.37,3.87,1.46,1.08,65.46
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5073Row24$Range15$@Pioneer P0589 AMXT,12/12/2023,4:39 PM,,5.9,9.49,3.53,1.44,1.18,62.44
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5073Row24$Range15$@Pioneer P0589 AMXT,12/12/2023,4:39 PM,,5.87,9.28,3.48,1.59,1.25,62.56
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4068Row19$Range4$@PHN46 x W606S,12/13/2023,1:11 PM,,5.3,8.19,4.01,0.38,0.95,67.15
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4068Row19$Range4$@PHN46 x W606S,12/13/2023,1:11 PM,,5.52,7.69,3.39,0.59,0.93,65.6
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4068Row19$Range4$@PHN46 x W606S,12/13/2023,1:12 PM,,5.67,7.51,3.82,0.38,0.92,68.33
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6101Row2$Range28$@LH195 x PHM49,12/13/2023,1:13 PM,,5.65,10.27,3.77,1.32,1.16,63.36
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6101Row2$Range28$@LH195 x PHM49,12/13/2023,1:13 PM,,5.58,9.83,3.58,1.23,1.19,63.25
