Person,QR Code,Ear #,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Seed Color,Total Kernel Count,Cob Length,Cob Width,Cob Weight,100 Kernel weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot81$Row23$Range22$PHK56 x PHJ89,1,4.5,,17,41,159.66,yellow,627,18.5,2.5,19.72,21.33,fallen kernals not counted in cobs and are counted in total  mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot81$Row23$Range22$PHK56 x PHJ89,2,4.5,,18,37,192.15,yellow,654,17.5,2.5,24.37,27.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot81$Row23$Range22$PHK56 x PHJ89,3,4.5,,15,38,165.18,yellow,582,19.5,3,22.34,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot81$Row23$Range22$PHK56 x PHJ89,4,4.5,,16,41,157.73,yellow,561,18.5,3.5,22.92,24.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot82$Row25$Range22$LH185 x W606S,1,4.5,,16,50,250.02,yellow,777,22,3,32.3,27.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot82$Row25$Range22$LH185 x W606S,2,4.5,,16,53,228.66,yellow,790,22,3.5,27.56,24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot82$Row25$Range22$LH185 x W606S,3,5,,16,55,261.02,yellow,841,21.5,3,31.17,28.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot82$Row25$Range22$LH185 x W606S,4,4.5,,16,48,205.25,yellow,740,20,3,25.19,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot84$Row29$Range22$PHK56 x LH82,1,5,,18,39,219.48,yellow,631,18,3.5,31.33,29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot84$Row29$Range22$PHK56 x LH82,2,5,,16,45,210,yellow,718,19.5,3.5,25.86,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot84$Row29$Range22$PHK56 x LH82,3,5,,18,38,174.31,yellow,635,18,3,20.39,24.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot84$Row29$Range22$PHK56 x LH82,4,4.5,,18,39,157.35,yellow,618,18,3,17.15,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Inbred-HIPS$Rep2$Plot212$Row57$Range68$B73,1,3,,12,17,23.28,yellow,150,8.5,2.5,8.57,N/A,not enough 100 kernels to weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Inbred-HIPS$Rep2$Plot212$Row57$Range68$B73,2,3,,14,15,28.25,yellow,107,9,2.5,12.31,N/A,not enough 100 kernels to weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
