genotype	earHeight.pl	flagLeafHeight.pl	combineMoisture.pl	combineTestWeight.pl	earFillLength.pl	earWidth.pl	shelledCobWidth.pl	shelledCobMass.pl	earLength.pl	kernelsPerEar.pl	percentStarch.pl	percentProtein.pl	percentOil.pl	percentFiber.pl	percentAsh.pl	yieldPerAcre.pl	GDDToAnthesis.pl	GDDToSilk.pl	kernelsPerRow.pl	kernelRowNumber.pl	moistureCorrectedKernelMassPerEar.pl	moistureCorrectedHundredKernelMass.pl	anthesisSilkingIntervalGDD.pl	daysToAnthesis.pl	daysToSilk.pl	anthesisSilkingInterval.pl
PHG39 X PHM49	1.11935597135444	1.94542765275336	0.49551474008106	0.0455211301147475	0.144808196016014	-0.0130244551945892	-0.0311897986876129	0.458336802318031	0.538334560760323	3.73137393367245	-0.127158581782606	-0.229712763831563	-0.235283050403899	0.0633165080182003	-0.0326618609820657	2.06307570474804	2.64282856917164	3.60118410464266	0.435744440649389	0.108788590326709	1.4360400230104	-0.0125304397661029	3.32832106002422	0.288697110882166	0.329157059250104	0.137399593595425
PHG39 X PHN82	0.935197120118531	1.93439440034194	0.439901717949961	0.0495667577781037	0.201312760274448	-0.0247649376850026	-0.0749078998269523	0.261917947369118	0.0344363196301456	3.47742908132406	-0.208369461307264	-0.305207786712373	-0.164416943166613	0.0695259255674343	-0.0972766592945734	1.99091417451439	2.60959980111389	2.47767888957061	0.283466416589679	0.0130882287598322	1.32571244230677	-0.0126734066052591	3.49829247705864	0.234780333697181	0.130985294505715	0.16006954919163
PHJ40 X LH82	0.726914101405906	1.88953053850722	-0.0851115282350608	-0.312450612506989	-0.145716729548677	0.0190754489090781	0.00480198773891641	-0.0341959502087552	-0.130130008138947	1.34368826206018	0.170374932808443	0.217147999310372	-0.0494296161127514	-0.0205479244912579	-0.0477832552266364	1.51477998722141	2.04015034222326	2.74861466388152	-0.0184181080121544	0.029975673443878	1.12494366317529	0.077689062311729	2.47982883826451	0.206277571948551	0.281091262956017	-0.0980602662504724
PHK56 X 3IIH6	1.00858564843492	1.9523956475103	-0.0754864408902692	0.105406882246951	0.138723531943584	-0.00328394367632906	0.0113018936077995	0.127810994718596	0.19672138080843	2.79189564454729	0.346921991200611	0.163278488706732	0.134211184716483	0.0724213070856297	0.19483047781799	2.36664239883449	2.11853450088376	1.64165076518164	0.131871981456891	0.0788980271991879	1.43264560178585	0.378700265120462	2.99754853756568	0.11918815481761	0.0492473449124322	0.0361452661065702
PHK56 X LH145	0.922492892795367	1.99340809625407	-0.442747588027289	-0.0223219289419174	0.162931346228701	-0.0252739270688066	-0.223637686746792	-0.0269541596609238	-0.144063565460529	3.16769267795192	0.110537109853801	0.0931844329443724	0.178906403267621	0.114953325653357	0.0822431646049069	2.09864038459818	2.28078941047634	2.89092890334001	-0.00279246241711847	0.320888243430044	1.28809087550853	0.0586472962247199	2.94481021361723	0.251357949809942	0.301703949972549	0.02370544278242
PHK56 X LH185	0.885832027277614	1.91675648053557	0.217147916326038	0.178101393849625	0.188266462518515	0.00493994755815328	-0.0221176339574576	-0.0319006588459836	0.0897055907054446	2.80426072564641	0.237829728959758	0.147740155082807	0.182783899686341	-0.0322654519248313	0.0603282257637494	2.3310321206631	2.35762549258375	2.61039689290183	0.41637074404297	0.104434820673767	1.47694495497727	0.187791913686817	3.93025813726324	0.201784131961467	0.128010785420677	0.271070016480288
PHK56 X LH198	0.697377841005389	1.76320211118755	0.154832020142748	0.0676395547527528	0.0987094571417523	0.187196037034759	0.217098103976753	0.389069918839842	0.148930029540726	3.15241586782548	0.208431090859785	0.210697382858135	-0.105540115887509	0.0329001511557779	0.0398555589384486	2.40970053218451	2.10628058390388	3.65135631911845	0.194544680118412	0.284500688772646	1.58132662116575	0.255322933598943	3.46696565773641	0.306390983630268	0.574169965420442	0.16736803751051
PHK56 X LH82	0.73114819635231	1.73493976125603	-0.0709268011609772	-0.0103494873992356	-0.169474416010413	0.0444930460096487	0.123503536648853	-0.0746440379267523	-0.147738944050564	2.46488525679815	-0.060785936679551	0.0222044416452568	0.0200211774557625	0.0773878715404314	0.0561520475269661	1.78482686613158	1.926964099352	1.83542644634483	-0.0789155325051498	-0.127266494488081	1.11410151083135	0.0662114820663464	2.95787635740744	0.102445661106289	0.127396384895806	0.0503517011318128
PHK56 X PHJ89	0.943853079702833	1.68192964946036	0.332833037208496	0.127412197260664	-0.134329503543339	-0.0579702536791593	0.267834704875216	-0.0704007109441738	-0.371242196339922	1.71059984783984	-0.108411742428176	-0.122551542942069	0.0916900523816101	-0.0803019931662115	-0.0339275432831931	1.98271110082529	2.34775759364027	2.7857397508462	-0.00600019886004929	-0.221938403670932	0.948736427636526	0.0451347245366182	3.5678859688734	0.232906955579783	0.294704583301903	0.205206574181675
PHK56 X W606S	1.03690785063782	1.92754378518849	0.231885680581331	-0.0215392664597578	0.0416878792143269	0.0696782841525394	-0.00293661284653175	0.347363737016247	0.212474639359542	3.0328153414887	-0.187099656930111	-0.199477143007886	0.035939248505463	-0.0522135976082245	0.0443038519845432	2.18076912515279	1.74383047203383	2.85919928678958	-0.022676906144635	0.125602874460798	1.49190299771612	0.303585686220068	3.37322242731907	0.182592035612737	0.162977026863062	0.140385825169071
