genotype	earHt.sp	flagLeafHt.sp	tasselTipHt.sp	combineMoisture.sp	combineTestWt.sp	earLen.sp	earFillLen.sp	earWidth.sp	shelledCobWidth.sp	shelledCobWt.sp	shelledCobLen.sp	kernelsPerEar.sp	moistureCorrectedStarch.sp	moistureCorrectedProtein.sp	moistureCorrectedOil.sp	moistureCorrectedFiber.sp	moistureCorrectedAsh.sp	yieldPerAc.sp	GDDToAnthesis.sp	GDDToSilking.sp	kernelsPerRow.sp	kernelRows.sp	moistureCorrectedKernelMass.sp	moistureCorrectedHundredKernelWt.sp	ASI.GDD.sp
LH195 X PHM49	1.05415072915622	2.13865563559265	1.45070434754396	0.0901874496400794	-0.0135716618440508	-0.0162599818671925	0.0810217893192358	-0.371717138166229	0.176289090169173	0.07185397722532	-0.0237344360315562	1.3969285305414	0.0196684108408176	0.0637988874140338	-0.0654567124350078	0.193172203771149	0.034661538369206	2.19832303600853	2.91739864603244	4.51066698598914	0.110039293981856	-1.51855175860352	0.805560076562579	0.0191650403229256	2.04186581793352
LH195 X PHZ51	1.12561286068625	1.90939152721161	0.71377225073791	0.195980119095626	-0.0395643620013665	0.24411092503153	0.040668831975467	-0.0448081563266145	-0.0676742662624432	0.0257881294728831	0.136499107148718	1.82780551714608	-0.102046996644709	-0.00467910757156663	0.113443824388613	0.107328331171708	-0.0168198287179172	2.14593335152866	2.48559319403595	3.62339350779653	0.082187528595249	-0.15341733905688	1.17702063882027	0.0429052672968248	0.753799994422086
LH198 X PHB47	0.810480434174705	1.9034409003208	0.313964317190466	0.185938332062136	-0.0296800288496707	0.321989265684711	0.404905448735644	0.0709325228201674	0.146944702881202	0.244623472666793	0.231435770800462	3.5023305537599	0.328084320997604	0.192349942576012	-0.026126790791105	-0.358638696849918	-0.0934439348757602	2.02070313966513	2.40240542668183	4.23136670178738	0.157731475443778	-2.2314549864212	1.61636602421355	0.184965119709299	-0.17793944535021
LH198 X PHZ51	1.01381831108018	2.06231194703526	0.484054209300434	0.217463507235028	0.0486852011417979	0.31040856509715	0.175763506543448	-0.0174677718660551	-0.241519237531911	0.425241544261054	0.336854087064758	3.09367708614733	0.101336992559629	0.178969276948377	-0.0313007321235789	-0.267735889915212	-0.0815021924171165	1.99734608122149	2.48941173619274	4.32557028535901	0.330113253090087	-1.31778994693858	1.58456059710063	0.248260857147373	1.89621565693236
LH74 X PHM49	0.936142666573333	1.94651571446542	1.1173357433275	0.246515343851953	0.035241293142655	0.222423488600228	0.127514532212602	0.0863887338358517	0.0783554314881182	0.114252635507641	0.0846550112349797	3.68186058851034	0.0819777034806134	0.0435847867899598	-0.0119316068770793	0.120046826943163	0.030240177643437	2.26158270443109	1.78452892445342	2.8431918444079	0.16156665355557	-1.91650177120815	1.70852677199448	0.293993206981404	0.812030962609319
LH74 X PHN82	1.00286980143778	2.0102155372948	0.865946747856503	0.267249458227135	0.0869317325174017	-0.0980939828808463	0.140656561249185	0.0618998194160757	-0.146131427290952	-0.00990764372931128	-0.234077956804773	2.43526285483561	-0.0677245387103068	0.0672689077646368	-0.149620596007209	-0.00498352185472121	-0.00407977603035567	2.2840287032187	2.0918125339039	2.9612110423379	0.177979108850853	-0.723425620567164	1.62989477191222	0.255464817676511	1.30394002783012
LH82 X PHB47	0.819576216089523	1.95198173606046	1.00877767887185	0.119480524663403	0.0731001453163981	-0.0327717570262988	0.445467354287243	0.0592124163064747	0.234897124664008	0.134805491745531	0.162061874001911	4.32411535251681	0.16305577219823	0.201445797106541	-0.0803011539132543	0.126700403656139	-0.000262577759510221	2.03551542096656	2.38416788009055	2.6804587913314	0.421139912924665	0.520347754859631	1.79057996763604	0.0538828757136415	0.923380405365764
LH82 X PHJ89	0.736630828231589	1.98163946483863	0.600985817198995	-0.0571570347678874	-0.111901125859321	-0.161722257493315	-0.0774486280365795	0.0550668903443592	0.0186191345745857	-0.0532512830761753	-0.0399601645577165	1.83461360503648	-0.105477949982155	0.136374252902034	-0.0187009372848195	0.541886560651238	0.0070401340898672	2.09014928296502	1.77187953319943	2.27929660796691	0.0931765292144478	1.18007600756034	1.65799400026626	0.209334912534355	1.91772368505268
LH82 X W606S	0.545210277202859	1.67648290837215	0.442571021866414	0.252504778730435	-0.0388350496004611	0.0475627758911698	-0.0463324726036146	-0.00885738627605619	-0.270841223882718	0.0504159164809238	-0.126598327166454	2.31800337540647	-0.0403131118640305	0.0240146657200206	-0.362410977361706	0.44899169682723	0.00669358746401367	1.77344109347195	1.86568511197339	4.35517557128037	0.1154389024561	3.07439444512043	1.31482446216989	0.0679523421464367	2.07543547521515
N209 X 3IIH6	1.13214322189365	2.04331924266199	0.818473188952392	-0.0795680311133562	0.375261293956051	-0.0835465997995152	0.0195371499616323	0.018250297448341	-0.0160568654612157	0.345692581264146	0.0942405079750653	2.70440713748147	0.0355404794846768	0.0249885560919229	0.120114796369866	-0.181537102068606	-0.061681021464751	2.19564969195428	2.2514391652186	3.39646195478573	0.340524179985471	3.68921354679654	1.69766639495419	0.222238261096328	0.94731760806145
