genotype,yieldPerAcre.sp.b.1,yieldPerAcre.sp.mu.1,yieldPerAcre.sp.FWB.1,yieldPerAcre.sp.FWW.1,yieldPerAcre.sp.b.2,yieldPerAcre.sp.mu.2,yieldPerAcre.sp.FWB.2,yieldPerAcre.sp.FWW.2
LH145 X LH162,1.03146757684278,143.752325616599,189.64246415959,71.6371147716646,0.962065536988597,138.318683475785,186.896451534368,76.2268434969827
LH185 X LH145,0.995055701609492,150.281851283968,194.55202034214,80.7123821750425,0.899689426897767,141.640371763189,187.068570388203,83.5742943726438
LH185 X LH82,0.962002214350617,154.43777297042,197.237387700281,87.1792433969185,1.00284365283889,151.584816054824,202.221601693272,86.8611509594719
LH185 X W606S,1.00245209078103,153.580034047938,198.179269507633,83.4934452771131,0.962328064623737,142.416339484401,191.007363403503,80.3075559364921
LH195 X 3IIH6,1.00450479178124,158.955680031407,203.646240449251,88.7255763612731,0.962430970252126,151.378600521345,199.974820474974,89.2631754302509
LH195 X LH123HT,1.06235018854874,150.509136019014,197.773246329585,76.2347627295994,1.01256929605728,142.837470870975,193.965335362493,77.4861114458817
LH195 X LH185,1.06010510771412,153.556373196798,200.720599543147,79.4389650717652,1.06142713489272,151.385162369765,204.980015513867,82.8805114130205
LH195 X PHM49,1.0109707435207,144.30907275463,189.2873042809,73.6269010956672,1.00955490253832,142.236127432935,193.211785548098,77.0793173735725
LH195 X PHZ51,1.06042047701189,147.997166819466,195.175423990528,73.8577096025243,1.03280249732268,142.134524446024,194.284028025904,75.4773114725725
LH198 X PHB47,0.931951375686881,145.876915153941,187.339563816645,80.7193944875115,0.989844462401751,138.919363537523,188.899778446819,75.0346679525053
LH198 X PHZ51,1.01003812876367,151.18144146791,196.118180831587,80.5644737100209,1.01918326633747,143.891308472873,195.353133491887,78.1130825106548
LH74 X PHM49,0.994811183491797,150.438997187284,194.698287599777,80.8866235993503,0.991408469888912,145.338628010406,195.398014663344,81.3529911704694
LH74 X PHN82,1.00454281368795,152.08508352075,196.777335538607,81.8523215432858,0.987073934078211,147.705671618533,197.546193685683,83.9997863065253
LH82 X PHB47,0.95802429995555,147.835795894457,190.458432649634,80.8553828044629,0.916721241796381,143.367602882359,189.655792352021,84.2022898528949
LH82 X PHJ89,0.968909865705702,152.115715170996,195.222652287724,84.374236113575,0.986051695071477,147.009234045598,196.798139993617,83.3693241774515
LH82 X W606S,1.00528083548128,151.071943904837,195.797030616779,80.7875830226399,0.946608288536933,143.81572948435,191.6130115976,82.7215024128533
N209 X 3IIH6,1.01192027955226,158.328878526264,203.349355045027,87.5803199127741,1.04364630267718,150.643366032712,203.3404080506,83.2862923939049
OS426 X 'IOWA I 205',0.996957393734605,139.073015953798,183.427791563884,69.3705897537881,1.01836121497915,129.579553220563,180.999870235516,63.8543825642804
OS426 X CI 3A,0.972601896129961,121.613101217639,164.884297290711,53.6134932975489,0.965066034150264,112.998986481419,161.728259244802,50.7134940096666
OS426 X I159,0.981721003525079,139.433586453588,183.110492905876,70.796414767771,0.997088094505447,120.515441871175,170.861610948671,56.1632412897141
PHB47 X 3IIH6,1.01676512002407,154.454716220697,199.690740378049,83.3674298565941,0.988068480421121,148.79374605984,198.684485954894,85.0236725922429
PHB47 X LH185,0.986438544791926,148.803734161414,192.690524692638,79.836734868054,0.92677671051134,147.475260019167,194.271182286831,87.6609656777699
PHB47 X PHJ89,0.986694602475065,151.398625557712,195.296808131515,82.4137239529052,1.00901284071391,145.562493342171,196.510781020948,80.440668026328
PHB47 X PHK56,1.02362971951248,154.453165506402,199.994596666977,82.8859396361164,0.966409622630943,148.817360757574,197.614475603509,86.445152903416
PHG39 X PHM49,1.04615474436246,153.622670257643,200.166242963195,80.4806038855211,1.08106163025597,147.102563620407,201.688825275708,77.3306996752668
PHG39 X PHN82,1.01765629291662,146.553281857463,191.828954422989,75.4036890064776,1.01074944949534,159.038236169005,210.074210783183,93.8043298873474
PHJ40 X LH82,0.971204683040622,149.368721690738,192.577755555629,81.4668001340346,0.970972984906703,145.928499473545,194.95603308585,83.2617716004304
PHK56 X 3IIH6,0.980519272363976,158.899396914105,202.522838176878,90.3462444432472,0.968609743377895,149.298835127426,198.207041111373,86.78463118246
PHK56 X LH145,0.972895713933633,147.156128360555,190.440396429314,79.1359781245085,0.9801385671623,143.354540384922,192.844873579807,80.096264592412
PHK56 X LH185,1.01368719305705,161.820963525475,206.92005027625,90.9488708884212,1.00564004104598,154.391545012656,205.169529241536,89.4874006439104
PHK56 X LH198,1.06946017924895,163.199125750809,210.779560554361,88.4276563917148,1.03739592021925,154.789445379338,207.170885582542,87.8357722703939
PHK56 X LH82,0.96203981188812,157.119392552028,199.920680001656,89.858234341034,0.961565252932196,152.670004057528,201.222511172941,90.6104524794425
PHK56 X PHJ89,0.969869563612327,152.912700804538,196.062335017019,85.1041243235655,0.952832217732464,147.585612247876,195.697160465928,86.0896919436522
PHK56 X W606S,0.909462480869134,139.152491253852,179.614605801829,75.5672850526187,0.900227929938341,132.293243976066,177.748633343081,74.1924115263927
PHK76 X 3IIH6,0.94237186009987,149.835511892786,191.761769382497,83.9494414906003,0.969719223752118,147.050257919966,196.014485118905,84.464447961472
PHK76 X LH145,0.927947608013388,142.253921628741,183.538442100743,77.3763249816699,1.00212262210048,133.285696754149,183.886075242952,68.6085670802507
PHK76 X LH198,0.987646199737894,153.75628348804,197.696802758806,84.7048508174106,1.0032385261415,145.700375118919,196.357099174209,80.9512248471681
PHK76 X LH82,0.865500000047392,136.643623508749,175.149841060159,76.1320607694175,0.870368691408414,130.956774751454,174.904475600436,74.7830615981355
PHK76 X W606S,0.999221442312744,147.715227444372,192.170730896274,77.8545099473392,1.00325115884599,141.612766726129,192.270128647101,76.8628011379207
PHN46 X PHB47,1.01808368633108,153.548399350991,198.843086710042,82.3689252251214,0.99174735180644,150.598319501451,200.674817386998,86.590811176687
PHN46 X PHK56,0.984288390836359,153.076192294599,196.867322171891,84.2595213385864,0.943541389494562,148.681223773588,196.323648338561,87.7849347814092
PHN46 X W606S,1.00393298183981,154.960492378041,199.625612890626,84.7703668860042,1.02460651659547,149.714008126725,201.449670408407,83.585764858785
PHP02 X LH145,0.950404981987021,141.070277445752,183.353929665662,74.6225701180434,1.00098030696153,137.424430036073,187.967129377524,72.8210255358617
PHP02 X LH185,0.985504193231207,146.261619897063,190.106840995052,77.359945933667,1.05475582677612,139.0064473412,192.264444786936,70.9323635133037
PHP02 X LH198,0.980480219976019,152.603999305531,196.225703122034,84.0535771882531,1.01439606716542,147.9004152966,199.12051930796,82.431155816923
PHP02 X LH82,0.951572963062698,146.467248641205,188.802864504551,79.9378817408387,0.947339946281361,139.679509079964,187.513734934405,78.5380607186079
PHP02 X PHB47,1.00486068408436,151.1274214308,195.833815547601,80.8724354967398,1.02186622536438,143.683045501919,195.280341709026,77.7316610009487
PHP02 X PHG47,1.02465458784709,154.033876107385,199.620903805281,82.3949964132682,1.02563274606992,145.074089462229,196.86156935453,78.8796132051015
PHP02 X PHJ89,1.02929753822823,153.950001043918,199.743594261685,81.9865087752565,0.98061512932797,146.405713548094,195.920109891965,83.1166803689066
PHP02 X PHK56,1.0050949337405,159.655533908388,204.37234982556,89.3841703743706,1.02613353594727,153.629519008349,205.442285384337,87.4027217047515
PHP02 X PHK76,0.971532454476765,150.635321649651,193.858938112146,82.7104839036678,0.964307818330855,146.227067043676,194.918055063663,83.9905099235379
PHP02 X PHN46,1.00813839396045,153.023460806059,197.875680699351,82.5393132927992,0.995523441362712,144.723075778558,194.990240511196,80.4718581227149
PHP02 X W606S,1.00589628230402,153.942438252525,198.694906280754,83.6150483131059,1.06222955342034,146.758309867284,200.39367969099,78.2018707101539
PHT69 X 3IIH6,0.961289294539656,154.695364698412,197.463261524938,87.4866790207704,1.01784321350666,151.453086694466,202.847248157206,85.7613479233321
PHW52 X LH185,1.04288733416089,159.332252229939,205.730457392978,86.4186273337226,1.01691913733481,152.468814886158,203.81631678547,86.8367161162355
PHW52 X PHM49,0.99636411473455,154.082634296719,198.411014840088,84.4216872872713,1.06129331859751,151.441421417061,205.029517748138,82.9454069821222
PHW52 X PHN82,1.03302993972343,157.941136652989,203.900784941761,85.7166929721579,0.992929479717641,156.292541572771,206.428728879962,92.2087385526101
PHW52 X PHZ51,1.06300689215607,151.76256764752,199.055894794566,77.4422808265817,1.035765472749,147.646794624787,199.945908316962,80.798350816264
PHZ51 X LH145,0.986357930550896,141.66476509456,185.547969086785,72.7034019579916,1.03647876597925,135.234998803923,187.570128954192,68.3405189537707
WF9 X H95,0.993453907291925,131.62461315367,175.82351815585,62.167133735487,0.972738766200581,125.597272222245,174.71396578347,62.8165805854137
