date,minTemp,maxTemp,GDD,location,lat,lon,tmin,tmax
2022-06-18,74.3,99.8,30.15,North Platte3,NA,NA,NA,NA
2022-06-19,75.3,99.3,30.65,North Platte3,NA,NA,NA,NA
2022-06-20,72.8,99.1,29.4,North Platte3,NA,NA,NA,NA
2022-06-21,54.4,82,18.2,North Platte3,NA,NA,NA,NA
2022-06-22,48.5,87.5,18,North Platte3,NA,NA,NA,NA
2022-06-23,64.1,97.4,25.05,North Platte3,NA,NA,NA,NA
2022-06-24,66.2,90.7,26.1,North Platte3,NA,NA,NA,NA
2022-06-25,59.2,78.3,18.75,North Platte3,NA,NA,NA,NA
2022-06-26,45.8,79.2,14.6,North Platte3,NA,NA,NA,NA
2022-06-27,54.7,85.4,20.05,North Platte3,NA,NA,NA,NA
2022-06-28,52.4,98.6,19.2,North Platte3,NA,NA,NA,NA
2022-06-29,67.3,100.1,26.65,North Platte3,NA,NA,NA,NA
2022-06-30,65.5,95.5,25.75,North Platte3,NA,NA,NA,NA
2022-07-01,60,82.2,21.1,North Platte3,NA,NA,NA,NA
2022-07-02,60.5,83.8,22.15,North Platte3,NA,NA,NA,NA
2022-07-03,68.4,92.8,27.2,North Platte3,NA,NA,NA,NA
2022-07-04,66.7,96.8,26.35,North Platte3,NA,NA,NA,NA
2022-07-05,67.4,96.3,26.7,North Platte3,NA,NA,NA,NA
2022-07-06,64.3,84.4,24.35,North Platte3,NA,NA,NA,NA
2022-07-07,69,83.1,26.05,North Platte3,NA,NA,NA,NA
2022-07-08,64.5,91,25.25,North Platte3,NA,NA,NA,NA
2022-07-09,65.8,95.1,25.9,North Platte3,NA,NA,NA,NA
2022-07-10,71.5,101.1,28.75,North Platte3,NA,NA,NA,NA
2022-07-11,61.1,83.6,22.35,North Platte3,NA,NA,NA,NA
2022-07-12,54.3,86.9,20.15,North Platte3,NA,NA,NA,NA
2022-07-13,60.8,95.1,23.4,North Platte3,NA,NA,NA,NA
2022-07-14,67.8,104.4,26.9,North Platte3,NA,NA,NA,NA
2022-07-15,61.9,95,23.95,North Platte3,NA,NA,NA,NA
2022-07-16,67.1,97.6,26.55,North Platte3,NA,NA,NA,NA
2022-07-17,61.4,95.7,23.7,North Platte3,NA,NA,NA,NA
2022-07-18,63.8,98.7,24.9,North Platte3,NA,NA,NA,NA
2022-07-19,60.3,96.9,23.15,North Platte3,NA,NA,NA,NA
2022-07-20,53.1,95.7,19.55,North Platte3,NA,NA,NA,NA
2022-07-21,61.4,96.7,23.7,North Platte3,NA,NA,NA,NA
2022-07-22,63,94,24.5,North Platte3,NA,NA,NA,NA
2022-07-23,72.8,101.5,29.4,North Platte3,NA,NA,NA,NA
2022-07-24,60.8,85.8,23.3,North Platte3,NA,NA,NA,NA
2022-07-25,64.3,71.8,18.05,North Platte3,NA,NA,NA,NA
2022-07-26,62.8,84.3,23.55,North Platte3,NA,NA,NA,NA
2022-07-27,55.9,87.7,20.95,North Platte3,NA,NA,NA,NA
2022-07-28,59.9,79.3,19.6,North Platte3,NA,NA,NA,NA
2022-07-29,60.5,79.6,20.05,North Platte3,NA,NA,NA,NA
2022-07-30,57.6,85.4,21.5,North Platte3,NA,NA,NA,NA
2022-07-31,62.6,98.8,24.3,North Platte3,NA,NA,NA,NA
2022-08-01,57.2,98.3,21.6,North Platte3,NA,NA,NA,NA
2022-08-02,63.2,102,24.6,North Platte3,NA,NA,NA,NA
