Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot377$Row9$Range26$LH74 x PHM49,3,Yellow,4,14,12,31,141.58,358,2,16,15.57,35.56,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot377$Row9$Range26$LH74 x PHM49,4,Yellow,4,14.5,14,31,156.16,413,2,16.5,18.43,32.34,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot382$Row14$Range26$PHB47 x 3IIH6,1,Yellow,4,19,17,42,223.71,647,2.5,20.5,24.01,32.19,4.6
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot382$Row14$Range26$PHB47 x 3IIH6,2,Yellow,4,14,18,37,185.75,623,2.5,20,19.77,27.18,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot382$Row14$Range26$PHB47 x 3IIH6,3,Yellow,3.5,14,18,31,136.15,508,2,16.5,15.21,25.44,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot382$Row14$Range26$PHB47 x 3IIH6,4,Yellow,4,15.5,18,34,156.28,511,2.5,18,17.85,27.61,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot383$Row15$Range26$LH123HT x PHB47,1,Yellow,4,18.5,12,45,187.2,509,2,19,24.68,32.09,4.34
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot383$Row15$Range26$LH123HT x PHB47,2,Yellow,4,17.5,14,39,194.35,551,2.5,17.5,25.42,30.31,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot383$Row15$Range26$LH123HT x PHB47,3,Yellow,3.5,15.5,14,38,151.72,455,2,16,19.58,29.07,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot383$Row15$Range26$LH123HT x PHB47,4,Yellow,4,14.5,16,34,149.98,472,2,14.5,17.98,27.81,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1009$Row1$Range33$PHJ40 x LH82,1,Orange,4,13.5,18,30,149.49,567,2.5,16.5,19.48,24.06,4.71
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1009$Row1$Range33$PHJ40 x LH82,2,Orange,4,16,18,35,162.45,621,2.5,18,22.08,23.51,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1009$Row1$Range33$PHJ40 x LH82,3,Orange,4,13.5,18,31,139.32,542,2.5,17,19.84,20.51,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1009$Row1$Range33$PHJ40 x LH82,4,Orange,3.5,13.5,16,29,101.28,465,2.5,16,14.03,19.42,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1024$Row16$Range33$2369 x LH123HT,1,Yellow,4.5,17,16,41,230.68,479,2.5,17.5,26.24,33.85,4.74
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1024$Row16$Range33$2369 x LH123HT,2,Yellow,4,18,14,41,201.71,542,2.5,18.5,27.18,31.38,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1024$Row16$Range33$2369 x LH123HT,3,Yellow,4,18,14,42,209.56,557,2.5,18,28.12,32.97,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1024$Row16$Range33$2369 x LH123HT,4,Yellow,4.5,19,18,43,249.53,722,3,19.5,36.29,31.82,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1015$Row7$Range33$PHN46 x W606S,1,Yellow,4,15.5,14,37,179.95,527,2.5,18,21.66,29.4,5.02
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1015$Row7$Range33$PHN46 x W606S,2,Yellow,4.5,13.5,18,29,147.22,414,3,13.5,18.37,31.12,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1015$Row7$Range33$PHN46 x W606S,3,Yellow,4,13.5,16,34,158.56,499,2.5,16.5,20.57,28.71,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1015$Row7$Range33$PHN46 x W606S,4,Yellow,4,12,16,29,139.42,436,2.5,14.5,17.65,29.17,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1020$Row12$Range33$PHN46 x W606S,1,Yellow,4.5,14.5,16,35,176.82,510,3,17.5,21.92,30.19,4.94
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1020$Row12$Range33$PHN46 x W606S,2,Yellow,4.5,17,16,39,214.04,620,3,19,26.44,33.02,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1020$Row12$Range33$PHN46 x W606S,3,Yellow,4.5,15,16,34,178.35,518,3,18,21.66,29.09,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1020$Row12$Range33$PHN46 x W606S,4,Yellow,4,15.5,16,35,175.39,503,3,15.5,21.69,29.87,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1021$Row13$Range33$PHK76 x LH145,1,Yellow,4.5,17,14,37,197.31,526,2.5,18,21.71,31.55,5.12
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1021$Row13$Range33$PHK76 x LH145,2,Yellow,4.5,18,14,39,207.59,530,2.5,18.5,22.27,34.43,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1021$Row13$Range33$PHK76 x LH145,3,Yellow,4,15.5,14,37,151.35,432,2.5,15.5,15.53,31.94,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep2$Plot1021$Row13$Range33$PHK76 x LH145,4,Yellow,4,16.5,14,39,179.21,503,2.5,17,18.22,30.36,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1016$Row8$Range33$PHK76 x W606S,1,Red,3.5,14.5,14,33,120.81,409,2,16,17.66,26.63,5.26
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1016$Row8$Range33$PHK76 x W606S,2,Red,3.5,16,14,36,156.39,448,2.5,18,23.73,29.23,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1016$Row8$Range33$PHK76 x W606S,3,Red,3.5,16,14,39,139.49,467,2.5,17.5,21.69,24.31,
CH,North Platte$HIPS - Partial Irrigation - High Nitrogen$Rep1$Plot1016$Row8$Range33$PHK76 x W606S,4,Red,3.5,19,12,41,183.61,449,2.5,19.5,27.86,34.89,
